Time,Action,Data
2015/09/22 20:41:12,Create,"{u'description': u'Fun word game! (3 mins)', u'title': u'Short word game', u'url': u'https://langcog.stanford.edu/expts/MLL/wug/xtSamp8/wug8.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'language, word game', u'auto_approval_delay': u'5 minutes', u'reward': 0.3, u'server_log_path': u'https://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2015/09/22 20:42:52,Expire,
2015/09/22 20:44:14,Create,"{u'description': u'Fun word game! (3 mins)', u'title': u'Short word game', u'url': u'https://langcog.stanford.edu/expts/MLL/wug/xtSamp8/wug8.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'language, word game', u'auto_approval_delay': u'5 minutes', u'reward': 0.3, u'server_log_path': u'https://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2015/09/30 20:16:02,Add,300 assignments
