"","subjno","listno","samplecond","t2_a","t3_a","t2_b","t3_b","w_a","w_b","sub1_a","nonmatch_a","basic1_a","sub2_a","basic2_a","sub1_b","nonmatch_b","basic1_b","sub2_b","basic2_b","sample"
"1",1,2,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,"learner"
"2",10,3,1,1,1,1,1,3,2,1,0,1,1,1,1,0,1,1,1,"teacher"
"3",11,4,0,1,1,1,1,4,2,1,0,0,1,0,1,0,0,1,0,"learner"
"4",12,5,1,1,1,1,1,4,1,1,0,1,1,0,1,0,0,1,0,"teacher"
"6",14,7,1,1,1,1,1,1,4,1,0,0,1,0,1,0,0,1,0,"teacher"
"7",15,8,0,1,1,1,1,3,1,1,0,0,1,0,0,0,0,0,0,"learner"
"8",16,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,"teacher"
"9",17,2,0,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,"learner"
"10",18,3,1,1,1,1,1,2,1,1,0,0,1,0,1,0,0,1,0,"teacher"
"12",2,3,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,"teacher"
"13",20,5,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,"teacher"
"15",22,7,1,1,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,"teacher"
"16",23,8,0,1,1,1,1,3,1,1,0,1,1,1,1,0,1,1,1,"learner"
"17",24,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,"teacher"
"18",25,2,0,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,"learner"
"19",26,3,1,1,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,"teacher"
"20",27,4,0,1,1,1,1,4,1,1,0,1,1,1,1,0,1,1,1,"learner"
"21",28,5,1,1,1,1,1,4,3,1,0,0,1,0,1,0,0,1,0,"teacher"
"22",29,6,0,1,1,1,1,2,4,0,0,0,1,0,1,0,0,1,0,"learner"
"24",1,7,1,1,1,1,1,3,4,1,0,1,1,1,1,0,1,1,1,"teacher"
"25",31,8,0,1,1,1,1,4,2,1,0,1,1,1,1,0,1,1,1,"learner"
"26",32,1,1,1,1,1,1,1,3,1,0,1,1,1,1,0,1,1,1,"teacher"
"27",33,2,0,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,"learner"
"28",34,3,1,1,1,1,1,1,4,1,0,1,1,1,1,0,0,1,0,"teacher"
"29",35,4,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,"learner"
"30",36,5,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,"teacher"
"32",38,7,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,"teacher"
"33",4,5,1,1,1,1,1,4,2,1,0,0,1,0,1,0,0,1,0,"teacher"
"34",5,6,0,1,1,1,1,3,4,1,0,1,1,1,1,0,1,1,1,"learner"
"35",6,7,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,"teacher"
"37",8,1,1,1,1,1,1,2,3,1,0,0,1,0,1,0,1,1,1,"teacher"
"38",9,2,0,1,1,1,1,3,2,1,0,0,1,0,1,0,0,1,0,"learner"
