subjno,listno,samplecond,t2_a,t3_a,t2_b,t3_b,w_a,w_b,sub1_a,nonmatch_a,basic1_a,sub2_a,basic2_a,sub1_b,nonmatch_b,basic1_b,sub2_b,basic2_b,sample
1,2,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,learner
10,3,1,1,1,1,1,3,2,1,0,1,1,1,1,0,1,1,1,teacher
11,4,0,1,1,1,1,4,2,1,0,0,1,0,1,0,0,1,0,learner
12,5,1,1,1,1,1,4,1,1,0,1,1,0,1,0,0,1,0,teacher
14,7,1,1,1,1,1,1,4,1,0,0,1,0,1,0,0,1,0,teacher
15,8,0,1,1,1,1,3,1,1,0,0,1,0,0,0,0,0,0,learner
16,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,teacher
17,2,0,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,learner
18,3,1,1,1,1,1,2,1,1,0,0,1,0,1,0,0,1,0,teacher
2,3,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,teacher
20,5,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,teacher
22,7,1,1,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,teacher
23,8,0,1,1,1,1,3,1,1,0,1,1,1,1,0,1,1,1,learner
24,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,teacher
25,2,0,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,learner
26,3,1,1,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,teacher
27,4,0,1,1,1,1,4,1,1,0,1,1,1,1,0,1,1,1,learner
28,5,1,1,1,1,1,4,3,1,0,0,1,0,1,0,0,1,0,teacher
29,6,0,1,1,1,1,2,4,0,0,0,1,0,1,0,0,1,0,learner
1,7,1,1,1,1,1,3,4,1,0,1,1,1,1,0,1,1,1,teacher
31,8,0,1,1,1,1,4,2,1,0,1,1,1,1,0,1,1,1,learner
32,1,1,1,1,1,1,1,3,1,0,1,1,1,1,0,1,1,1,teacher
33,2,0,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,learner
34,3,1,1,1,1,1,1,4,1,0,1,1,1,1,0,0,1,0,teacher
35,4,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,learner
36,5,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,teacher
38,7,1,1,1,1,1,2,3,1,0,0,1,0,1,0,0,1,0,teacher
4,5,1,1,1,1,1,4,2,1,0,0,1,0,1,0,0,1,0,teacher
5,6,0,1,1,1,1,3,4,1,0,1,1,1,1,0,1,1,1,learner
6,7,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,teacher
8,1,1,1,1,1,1,2,3,1,0,0,1,0,1,0,1,1,1,teacher
9,2,0,1,1,1,1,3,2,1,0,0,1,0,1,0,0,1,0,learner
39,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,teacher
40,4,0,1,1,1,1,4,3,1,0,1,1,1,1,0,1,1,1,learner
41,4,0,1,1,1,1,2,4,1,0,0,1,0,1,0,1,1,1,learner
42,6,0,1,1,1,1,3,2,1,0,0,1,0,0,0,0,0,0,learner
43,6,0,1,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,learner
44,6,0,0,0,1,0,2,1,1,0,1,1,1,1,0,1,1,1,learner
45,8,0,1,1,1,1,1,4,1,0,1,1,1,1,0,1,1,1,learner
46,8,0,1,1,1,1,4,3,1,0,0,1,0,1,0,1,1,1,learner
47,8,0,1,1,1,1,3,4,1,0,0,1,0,1,0,0,1,0,learner
